X1,X2,X3,X4,X5,X6,X7,X8
22.5,47.5,20,47.5,8,2,2,1
22.5,47.5,20,47.5,8,7,2,1
22.5,47.5,20,47.5,8,7,2,1
22.5,47.5,20,47.5,8,7,2,1
27.5,47.5,30,47.5,17,2,4,5
27.5,47.5,30,47.5,17,7,4,5
27.5,47.5,30,47.5,17,14,4,5
27.5,50,27.5,47.5,9,2,21,4
27.5,50,27.5,47.5,9,7,21,4
27.5,50,30,47.5,26,2,21,5
27.5,50,30,47.5,26,7,21,5
27.5,50,30,47.5,26,14,21,5
27.5,50,30,47.5,26,21,21,5
27.5,50,30,50,9,2,21,22
27.5,50,30,50,9,7,21,22
27.5,50,30,50,9,7,21,22
30,47.5,32.5,47.5,7,2,5,6
30,47.5,32.5,47.5,7,7,5,6
30,50,30,47.5,17,2,22,5
30,50,30,47.5,17,7,22,5
30,50,30,47.5,17,14,22,5
30,50,32.5,47.5,24,2,22,6
30,50,32.5,47.5,24,7,22,6
30,50,32.5,47.5,24,14,22,6
30,50,32.5,47.5,24,21,22,6
30,50,32.5,50,16,2,22,23
30,50,32.5,50,16,7,22,23
30,50,32.5,50,16,14,22,23
30,50,32.5,50,16,14,22,23
32.5,50,32.5,47.5,8,2,23,6
32.5,50,32.5,47.5,8,7,23,6
32.5,50,35,47.5,9,2,23,7
32.5,50,35,47.5,9,7,23,7
32.5,50,35,47.5,9,7,23,7
35,50,32.5,47.5,7,2,24,6
35,50,32.5,47.5,7,7,24,6
35,50,35,47.5,8,2,24,7
35,50,35,47.5,8,7,24,7
35,50,37.5,47.5,9,2,24,8
35,50,37.5,47.5,9,7,24,8
35,52.5,32.5,50,16,2,41,23
35,52.5,32.5,50,16,7,41,23
35,52.5,32.5,50,16,14,41,23
35,52.5,35,50,17,2,41,24
35,52.5,35,50,17,7,41,24
35,52.5,35,50,17,14,41,24
35,52.5,37.5,50,17,2,41,25
35,52.5,37.5,50,17,7,41,25
35,52.5,37.5,50,17,14,41,25
35,52.5,37.5,52.5,3,2,41,42
35,52.5,37.5,52.5,3,2,41,42
37.5,47.5,40,47.5,4,2,8,9
37.5,50,35,47.5,8,2,25,7
37.5,50,35,47.5,8,7,25,7
37.5,50,37.5,47.5,9,2,25,8
37.5,50,37.5,47.5,9,7,25,8
37.5,50,40,47.5,13,2,25,9
37.5,50,40,47.5,13,7,25,9
37.5,52.5,35,50,14,2,42,24
37.5,52.5,35,50,14,7,42,24
37.5,52.5,35,50,14,14,42,24
37.5,52.5,37.5,50,14,2,42,25
37.5,52.5,37.5,50,14,7,42,25
37.5,52.5,37.5,50,14,14,42,25
37.5,52.5,40,50,15,2,42,26
37.5,52.5,40,50,15,7,42,26
37.5,52.5,40,50,15,14,42,26
37.5,52.5,40,52.5,12,2,42,43
37.5,52.5,40,52.5,12,7,42,43
37.5,52.5,40,52.5,12,7,42,43
40,50,37.5,47.5,8,2,26,8
40,50,37.5,47.5,8,7,26,8
40,50,40,47.5,12,2,26,9
40,50,40,47.5,12,7,26,9
40,50,42.5,47.5,12,2,26,10
40,50,42.5,47.5,12,7,26,10
40,52.5,37.5,50,2,2,43,25
40,52.5,40,50,3,2,43,26
40,52.5,42.5,50,4,2,43,27
40,55,37.5,52.5,3,2,60,42
40,55,40,52.5,15,2,60,43
40,55,40,52.5,15,7,60,43
40,55,40,52.5,15,14,60,43
40,55,42.5,52.5,16,2,60,44
40,55,42.5,52.5,16,7,60,44
40,55,42.5,52.5,16,14,60,44
40,55,42.5,55,2,2,60,61
40,55,42.5,55,2,2,60,61
42.5,50,40,47.5,11,2,27,9
42.5,50,40,47.5,11,7,27,9
42.5,50,42.5,47.5,11,2,27,10
42.5,50,42.5,47.5,11,7,27,10
42.5,50,45,47.5,12,2,27,11
42.5,50,45,47.5,12,7,27,11
42.5,52.5,40,50,2,2,44,26
42.5,52.5,42.5,50,3,2,44,27
42.5,52.5,45,50,4,2,44,28
42.5,55,40,52.5,13,2,61,43
42.5,55,40,52.5,13,7,61,43
42.5,55,42.5,52.5,14,2,61,44
42.5,55,42.5,52.5,14,7,61,44
42.5,55,42.5,52.5,14,14,61,44
42.5,55,45,52.5,14,2,61,45
42.5,55,45,52.5,14,7,61,45
42.5,55,45,52.5,14,14,61,45
42.5,55,45,55,2,2,61,62
42.5,55,45,55,2,2,61,62
45,50,42.5,47.5,10,2,28,10
45,50,42.5,47.5,10,7,28,10
45,50,45,47.5,11,2,28,11
45,50,45,47.5,11,7,28,11
45,50,47.5,47.5,11,2,28,12
45,50,47.5,47.5,11,7,28,12
45,50,47.5,50,7,2,28,29
45,50,47.5,50,7,7,28,29
45,52.5,42.5,50,3,2,45,27
45,52.5,45,50,4,2,45,28
45,52.5,47.5,50,11,2,45,29
45,52.5,47.5,50,11,7,45,29
45,55,42.5,52.5,12,2,62,44
45,55,42.5,52.5,12,7,62,44
45,55,45,52.5,12,2,62,45
45,55,45,52.5,12,7,62,45
45,55,47.5,52.5,13,2,62,46
45,55,47.5,52.5,13,7,62,46
45,57.5,42.5,55,5,2,79,61
45,57.5,45,55,7,2,79,62
45,57.5,45,55,7,7,79,62
45,57.5,47.5,55,7,2,79,63
45,57.5,47.5,55,7,7,79,63
45,57.5,47.5,55,7,7,79,63
47.5,47.5,50,47.5,2,2,12,13
47.5,50,45,47.5,4,2,29,11
47.5,50,47.5,47.5,4,2,29,12
47.5,50,50,47.5,6,2,29,13
47.5,52.5,45,50,3,2,46,28
47.5,52.5,47.5,50,10,2,46,29
47.5,52.5,47.5,50,10,7,46,29
47.5,52.5,50,50,11,2,46,30
47.5,52.5,50,50,11,7,46,30
47.5,55,45,52.5,12,2,63,45
47.5,55,45,52.5,12,7,63,45
47.5,55,47.5,52.5,13,2,63,46
47.5,55,47.5,52.5,13,7,63,46
47.5,55,50,52.5,13,2,63,47
47.5,55,50,52.5,13,7,63,47
47.5,55,50,52.5,13,7,63,47
50,47.5,52.5,47.5,4,2,13,14
50,50,47.5,47.5,3,2,30,12
50,50,50,47.5,5,2,30,13
50,50,52.5,47.5,9,2,30,14
50,50,52.5,47.5,9,7,30,14
50,52.5,47.5,50,10,2,47,29
50,52.5,47.5,50,10,7,47,29
50,52.5,50,50,11,2,47,30
50,52.5,50,50,11,7,47,30
50,52.5,52.5,50,10,2,47,31
50,52.5,52.5,50,10,7,47,31
50,55,47.5,52.5,13,2,64,46
50,55,47.5,52.5,13,7,64,46
50,55,50,52.5,13,2,64,47
50,55,50,52.5,13,7,64,47
50,55,52.5,52.5,13,2,64,48
50,55,52.5,52.5,13,7,64,48
50,55,52.5,52.5,13,7,64,48
52.5,50,50,47.5,6,2,31,13
52.5,50,52.5,47.5,10,2,31,14
52.5,50,52.5,47.5,10,7,31,14
52.5,50,55,47.5,7,2,31,15
52.5,50,55,47.5,7,7,31,15
52.5,52.5,50,50,11,2,48,30
52.5,52.5,50,50,11,7,48,30
52.5,52.5,52.5,50,10,2,48,31
52.5,52.5,52.5,50,10,7,48,31
52.5,52.5,55,50,3,2,48,32
52.5,55,50,52.5,13,2,65,47
52.5,55,50,52.5,13,7,65,47
52.5,55,52.5,52.5,13,2,65,48
52.5,55,52.5,52.5,13,7,65,48
52.5,55,55,52.5,11,2,65,49
52.5,55,55,52.5,11,7,65,49
52.5,55,55,52.5,11,7,65,49
55,47.5,52.5,47.5,3,2,15,14
55,50,52.5,47.5,17,2,32,14
55,50,52.5,47.5,17,7,32,14
55,50,52.5,47.5,17,14,32,14
55,50,52.5,50,7,2,32,31
55,50,52.5,50,7,7,32,31
55,50,55,47.5,14,2,32,15
55,50,55,47.5,14,7,32,15
55,50,55,47.5,14,14,32,15
55,50,57.5,47.5,13,2,32,16
55,50,57.5,47.5,13,7,32,16
55,52.5,52.5,50,12,2,49,31
55,52.5,52.5,50,12,7,49,31
55,52.5,52.5,52.5,2,2,49,48
55,52.5,55,50,5,2,49,32
55,52.5,57.5,50,4,2,49,33
55,55,52.5,52.5,12,2,66,48
55,55,52.5,52.5,12,7,66,48
55,55,55,52.5,10,2,66,49
55,55,55,52.5,10,7,66,49
55,57.5,52.5,55,11,2,83,65
55,57.5,52.5,55,11,7,83,65
55,57.5,55,55,12,2,83,66
55,57.5,55,55,12,7,83,66
55,57.5,55,55,12,7,83,66
57.5,50,55,47.5,15,2,33,15
57.5,50,55,47.5,15,7,33,15
57.5,50,55,47.5,15,14,33,15
57.5,50,57.5,47.5,14,2,33,16
57.5,50,57.5,47.5,14,7,33,16
57.5,50,57.5,47.5,14,14,33,16
57.5,50,60,47.5,10,2,33,17
57.5,50,60,47.5,10,7,33,17
57.5,52.5,55,50,16,2,50,32
57.5,52.5,55,50,16,7,50,32
57.5,52.5,55,50,16,14,50,32
57.5,52.5,55,52.5,11,2,50,49
57.5,52.5,55,52.5,11,7,50,49
57.5,52.5,57.5,50,15,2,50,33
57.5,52.5,57.5,50,15,7,50,33
57.5,52.5,57.5,50,15,14,50,33
57.5,52.5,60,50,15,2,50,34
57.5,52.5,60,50,15,7,50,34
57.5,52.5,60,50,15,14,50,34
57.5,52.5,60,52.5,4,2,50,51
57.5,52.5,60,52.5,4,2,50,51
60,47.5,57.5,47.5,4,2,17,16
60,50,57.5,47.5,14,2,34,16
60,50,57.5,47.5,14,7,34,16
60,50,57.5,47.5,14,14,34,16
60,50,60,47.5,10,2,34,17
60,50,60,47.5,10,7,34,17
60,52.5,57.5,50,11,2,51,33
60,52.5,57.5,50,11,7,51,33
60,52.5,60,50,11,2,51,34
60,52.5,60,50,11,7,51,34
60,52.5,60,50,11,7,51,34
